FeatureID	HEB-0N-1	HEB-0N-2	HEB-0N-3	HEB-0N-4	HEB-0N-5	HEB-N-1	HEB-N-2	HEB-N-3	HEB-N-4	HEB-N-5	NMG-0N-1	NMG-0N-2	NMG-0N-3	NMG-0N-4	NMG-0N-5	NMG-N-1	NMG-N-2	NMG-N-3	NMG-N-4	NMG-N-5	XJ-HN-1	XJ-HN-2	XJ-HN-3	XJ-HN-4	XJ-HN-5	XJ-LN-1	XJ-LN-2	XJ-LN-3	XJ-LN-4	XJ-LN-5
507daaa8b6ea6fe083323bffbf589983	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
0d7718f777a4b49790a61956f7a3ff54	4	0	0	0	0	0	0	0	15	0	17	0	0	0	0	0	0	0	0	0	0	61	11	0	0	0	0	154	0	259
d15b4dbe5645d0ee8a160499b7884d2d	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8aa7533739b8cea1e65c4acce1481559	0	0	0	27	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a10b42c7f54bc6b90d7c2d8d8e99d439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
aaaa6d0ef1ea626bcc110a3ce91b0eff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	2	0
ef2648f75e51252b411e3155519dfdac	0	0	0	0	0	0	124	0	0	0	0	156	183	86	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
273c58e3ffb51797b527aadfd033aa51	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a3699090a550599e07d0dfb4980c7683	0	21	150	8	12	6	0	0	5	0	19	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0
cf259606c8249795e25a0c940faf208a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0
1c70aaf31bc5cab2747f7a0bf62d6a9a	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8b6ad01bed7b3aaef1d4ce40d3394de9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
ae9d6aaa8edcfe571a65d5012ec32cf0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c122da1b1a4b9925c031cbeba215a43	28	0	0	31	29	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81cc8aff89ca9749fc76e770e0b3f16d	0	0	0	0	15	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f11650bddd01d5ebb37ad358b807117	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00845b1bb348a1889abd7a75b380cd32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b26a73c6765e06816bdf903df0cbc39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0
bf4220bca6791f41fc8c5d701257a871	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88cb9811929fff6e5eb84cdce0f5dbf4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93d8f1959c506f9967b341eac5522308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0
63d1cfc4909523c86d7c86ef5b54c615	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
