FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
5a15e052e0a46035c6fd52fb38609898	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Unclassified	0.749585557
3d33df7276b3edca7b896482d468d82a	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	Unclassified	Unclassified	0.923793295
4e5354e75f0da576e42824e35294fddc	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	0.999891904
eb38559b2c099c21b387965636b29b1c	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999568
deb79c7d554a794337ddbf44d9a9d00c	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	Unclassified	Unclassified	0.998107222
07fb844a457a2663d5b0db341a46aa0f	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	Unclassified	Unclassified	0.927780458
b9438caf913118ad12aaaff85da89e31	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Unclassified	uncultured_Acidimicrobiaceae	0.813843264
a70f3777e5bac5d374c4a398d2941c23	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	uncultured_Ferrimicrobium	0.97463921
87fa76a4feca413b335cd56cec561a83	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	Unclassified	Unclassified	0.881182098
f3021674e5f09b64e423abbf9d4378c8	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_Desulfoglaeba	0.96545166
86895209b652068e5cfdce317a46d966	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Bacteroidetes_bacterium	0.908170414
5b0f9c2fccedbbf1acf9a278695d3764	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Unclassified	0.988606607
b7cc59cbf3a24442b0216ccb34edd44b	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Unclassified	0.994919363
7b996e406f4babd8952d080debec5332	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999214
92fb74272331620ad593c8984de2f0da	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsis	uncultured_bacterium	0.974743524
ca27d273f53d6720bae331c6000c4af2	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999869
3acc2d43acb98c07633e551727f3a196	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	Unclassified	Unclassified	0.8633917
