FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
76319c4d73c94cadb56e9dfaf475889c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	nan	0.944468932
3ce225c92d8a337d69410aa9ced22a9b	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Aurantisolimonas	uncultured_soil	0.853590546
9013b7414e3e943776880cf4b6c9fb66	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.941100613
a49cb3e4c18e5ee22d28137c731af92a	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Aurantisolimonas	nan	0.997985988
fc5ef8b474a0b478f9f1c41a8ef99bac	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Aurantisolimonas	nan	0.999753881
1a8ed8404338b065e4742ed8df0c5f20	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	nan	0.995672877
a329c8122f021d2793d3defcaa36c5c5	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	nan	0.994506594
8df48d8b66b2d82c94da90bb110f1c4b	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.819666666
0b63322af8fa0344f223c429a00c53fd	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter_gossypii	0.91327968
bbf155bf0f7c05f7d2e47ca570348595	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter_gossypii	0.904344715
47895bfa1cbec94718a8908f4f0787e3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.997990804
858b849504bc828f98b38f400039e5af	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.997682079
4412947b3eb5e42e2330e2b76e08e345	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.99857602
309f8cd6c6d6bef031502bdc1b5438a2	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.990965962
31bac51a94449fdfe8162811cad8c0e0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.996213676
ffd70316c60c9e6f766968cb9198f0b6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.991949703
17c7e1b770be77cb218775d95f8c2561	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.996735499
a5ee89ee5a14f2bf1a3d16145137a703	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.996661362
04ea5c50b584c7e9370be32e124ec9c9	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	nan	0.994645133
b88ea530e6c04c0f7a16997ddeb63ca0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.987423955
4cffacee080aacbe28a06ec3cf51fdd4	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.981704208
813f7ac280b5a0ee6bc92a0a6679d873	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.997651019
a1ae568da7d2c47412331befee83844c	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.998423752
6ae4b680ae2d74b3196fb25b32564da6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.998590968
6c939de8c2acbfb9facdadc953376267	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	uncultured_bacterium	0.92912243
fbecb48fc573a4a626abfe92811f0146	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.977585154
b791fe9ea77b1abb216a539d74f43115	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.986938699
4f16a6384ac0897f7d92074a8342d8f6	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	nan	0.993958075
32df299e434b3479aa62732eefa2d1d0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.988407601
868e512fb18da87028b8ceb43adbfad6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.984315574
95681a76b7ed5df0520676ebbf959924	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.990306377
ba4bd7127b15e2556c73d9c9fa6d51c9	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.988796293
0a57fdd0107141a63b8d3292bb0a6f17	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter_polysacchareus	0.901657051
041f9c53d60b76b39eb9fa2594fa3b25	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.980073471
6a555d29c259b08d6044c07de09024bb	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.970437048
1b8582cc2195816368638962abbd570a	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.991601626
36834868bd66fbca1699c4e88ee84454	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.995188365
dd53344f0886f56d68ef8313171c84ad	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.987852954
83f4280a16c2b9c00eabe7d3b2d0322e	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	nan	0.992860569
